ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K55240CP8176,0.02,0.025,-0.026,0.068,0.0,0.0,7449.0,2541.0,1.0
K55206CQ7351,0.06,0.159,-0.228,0.369,0.002,0.003,7641.0,2453.0,1.0
K55101BY3944,0.01,0.045,-0.073,0.095,0.001,0.001,6960.0,2782.0,1.0
K55232C99568,0.288,0.295,-0.23,0.867,0.003,0.004,7886.0,2946.0,1.0
K55232C70460,0.016,0.127,-0.217,0.252,0.001,0.002,7726.0,2923.0,1.0
K55210C28001,0.175,0.342,-0.473,0.797,0.004,0.005,7795.0,3061.0,1.0
K55306CV9946,-0.07,0.057,-0.177,0.039,0.001,0.001,6743.0,2604.0,1.0
K55101CU1644,0.068,0.07,-0.057,0.201,0.001,0.001,6940.0,2829.0,1.0
K55301CW6482,0.105,0.306,-0.488,0.658,0.003,0.005,8579.0,2940.0,1.0
K55306CW0001,-0.07,0.054,-0.178,0.03,0.001,0.001,6650.0,2544.0,1.0
K55307D05134,0.445,0.166,0.14,0.771,0.002,0.002,8821.0,2732.0,1.0
K55307D06041,0.722,0.15,0.449,1.021,0.002,0.001,6334.0,2946.0,1.0
K55210CY1002,0.036,0.029,-0.017,0.092,0.0,0.0,7123.0,2888.0,1.0
K55301CQ5219,-0.218,0.142,-0.477,0.061,0.002,0.002,8360.0,2385.0,1.0
