ticker,date,price,price_after_fees
K55303CK1428,2022-08-31,967.3,959.1
K55303CK1428,2022-09-30,957.3,949.1
K55303CK1428,2022-10-31,958.0,949.2
K55303CK1428,2022-11-30,963.3,954.5
K55303CK1428,2023-01-31,997.8,988.4
K55303CK1428,2023-02-28,998.6,989.2
K55303CK1428,2023-03-31,1010.2,1000.8
K55303CK1428,2023-05-31,1011.4,1001.3
K55303CK1428,2023-06-30,1014.4,1004.3
K55303CK1428,2023-07-31,1017.8,1007.1
K55303CK1428,2023-08-31,1021.4,1010.7
K55303CK1428,2023-10-31,1024.6,1013.2
K55303CK1428,2023-11-30,1036.6,1025.2
K55303CK1428,2024-01-31,1050.2,1038.1
K55303CK1428,2024-02-29,1052.6,1040.5
K55303CK1428,2024-04-30,1058.2,1045.4
K55303CK1428,2024-05-31,1063.1,1050.3
K55303CK1428,2024-07-31,1078.7,1065.2
K55303CK1428,2024-09-30,1087.1,1073.6
K55303CK1428,2024-10-31,1089.0,1074.8
K55303CK1428,2024-12-31,1100.2,1086.0
K55303CK1428,2025-01-31,1106.5,1091.6
K55303CK1428,2025-02-28,1110.0,1095.1
K55303CK1428,2025-03-31,1112.4,1097.5
K55363C09479,2018-01-31,932.0,929.4
K55363C09479,2018-02-28,871.4,868.8
K55363C09479,2018-04-30,867.1,861.8
K55363C09479,2018-05-31,832.1,826.8
K55363C09479,2018-07-31,798.2,790.4
K55363C09479,2018-08-31,802.5,794.7
K55363C09479,2018-10-31,617.4,607.1
K55363C09479,2018-11-30,668.4,658.1
K55363C09479,2018-12-31,658.0,645.6
K55363C09479,2019-01-31,671.9,659.5
K55363C09479,2019-02-28,686.2,673.8
K55363C09479,2019-04-30,713.3,698.8
K55363C09479,2019-05-31,699.4,684.9
K55363C09479,2019-07-31,622.8,606.2
K55363C09479,2019-09-30,627.9,609.3
K55363C09479,2019-10-31,623.9,605.3
K55363C09479,2019-12-31,665.2,644.5
K55363C09479,2020-01-31,670.1,649.4
K55363C09479,2020-03-31,531.3,509.0
K55363C09479,2020-06-30,669.7,645.3
K55363C09479,2020-07-31,737.9,713.5
K55363C09479,2020-08-31,752.5,728.1
K55363C09479,2020-11-30,817.4,790.7
K55363C09479,2020-12-31,901.6,872.1
K55363C09479,2021-03-31,1008.1,975.4
K55363C09479,2021-04-30,1086.0,1053.3
K55363C09479,2021-05-31,1108.8,1076.1
K55363C09479,2021-06-30,1136.5,1100.3
K55363C09479,2021-08-31,1084.1,1047.9
K55363C09479,2021-09-30,1010.5,971.2
K55363C09479,2021-11-30,970.7,931.4
K55363C09479,2021-12-31,1013.6,971.1
K55363C09479,2022-02-28,936.4,893.9
K55363C09479,2022-03-31,984.5,938.9
K55363C09479,2022-05-31,865.5,819.9
K55363C09479,2022-06-30,769.3,721.4
K55363C09479,2022-08-31,800.9,753.0
K55363C09479,2022-09-30,707.4,657.3
K55363C09479,2022-10-31,707.3,657.2
K55363C09479,2022-11-30,766.7,716.6
K55363C09479,2023-01-31,794.6,742.2
K55363C09479,2023-02-28,792.1,739.7
K55363C09479,2023-03-31,802.2,747.3
K55363C09479,2023-05-31,829.2,774.3
K55363C09479,2023-06-30,813.7,756.3
K55363C09479,2023-07-31,800.2,742.8
K55363C09479,2023-08-31,789.0,731.6
K55363C09479,2023-10-31,706.6,646.8
K55363C09479,2023-11-30,779.9,720.1
K55363C09479,2024-01-31,824.7,762.3
K55363C09479,2024-02-29,858.6,796.2
K55363C09479,2024-04-30,1001.7,936.4
